domainname,nr_asn
thelocal.ch,4910.0
alphacom.ch,4909.0
apexis.ch,4901.0
conet.ch,4900.0
jobs.ch,4898.0
cofex.ch,4893.0
sourcepole.ch,4891.0
webfg.ch,4885.0
imn.ch,4885.0
bossinfo.ch,4883.0
zuerich.ch,4874.0
siegfried.ch,4873.0
sinkhole.ch,4866.0
argovia.ch,4857.0
hcweb.ch,4851.0
kollerauktionen.ch,4839.0
adbw.ch,4837.0
lu.ch,4834.0
groupemutuel.ch,4822.0
carforyou.ch,4820.0
pwc.ch,4813.0
y2mate.ch,4812.0
concepto.ch,4811.0
college.ch,4804.0
mediamarkt.ch,4802.0
zermatt.ch,4801.0
wef.ch,4798.0
ggaweb.ch,4796.0
zoink.ch,4794.0
prospective.ch,4793.0
smis.ch,4793.0
ows.ch,4792.0
lematin.ch,4788.0
inoweb.ch,4788.0
creanet.ch,4786.0
fooby.ch,4785.0
brack.ch,4784.0
tremegisto.ch,4780.0
backbone.ch,4780.0
help.ch,4775.0
itpoint.ch,4774.0
ti8m.ch,4771.0
postoffice.ch,4770.0
energy.ch,4770.0
totalcommander.ch,4767.0
go4web.ch,4762.0
vtxmail.ch,4761.0
hotelplan.ch,4759.0
krk02.ch,4751.0
4itcloud.ch,4750.0
keynet-cloud.ch,4748.0
isi.ch,4747.0
dlnet.ch,4744.0
meteonews.ch,4742.0
rpetri.ch,4734.0
abissa.ch,4729.0
ar.ch,4725.0
chng.ch,4723.0
lyoness.ch,4720.0
upnethosting.ch,4716.0
ticketcorner.ch,4711.0
point.ch,4707.0
puzzle.ch,4700.0
inx.ch,4697.0
meteoetradar.ch,4691.0
gilai.ch,4685.0
setorcorporativo.ch,4685.0
itexacloud.ch,4682.0
typo3server.ch,4678.0
globaz.ch,4677.0
theindustry.ch,4677.0
snb.ch,4676.0
ncag.ch,4671.0
i2k.ch,4665.0
mpdkim2.ch,4659.0
eqipe.ch,4657.0
sv-group.ch,4657.0
tcrn.ch,4656.0
ins-online.ch,4653.0
projektvenice.ch,4652.0
telemedia.ch,4646.0
eawag.ch,4646.0
classicdb.ch,4646.0
meteoswiss.ch,4643.0
swissptt.ch,4643.0
conrad.ch,4638.0
org.ch,4636.0
transperfect.ch,4621.0
kesako.ch,4621.0
ksw.ch,4620.0
iheid.ch,4619.0
tissot.ch,4610.0
asturian-network.ch,4609.0
datawire.ch,4608.0
tchibo.ch,4607.0
webcreatif.ch,4601.0
